id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4434,Appartement,Paris 16,Chaillot,,,,240000
4435,Maison,Conflans-Sainte-Honorine,Grandes Terres,5,3,87,299000
4436,Appartement,Taverny,Centre Ancien Est,3,2,65,224700
4437,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Colombes,3,2,54,398000
4438,Maison,Deuil-la-Barre,Centre-Cote,7,5,163,690000
4439,Appartement,Morangis,Ormeteau,3,2,61.5,208500
4440,Appartement,Morangis,Ormeteau,2,1,43.6,155000
4441,Appartement,Morangis,Ormeteau,2,1,43.5,154900
4442,Appartement,Clamart,Centre,3,2,63,395000
4443,Appartement,Levallois-Perret,Eiffel,3,2,52,515000
4444,Appartement,Paris 16,Chaillot,6,4,157,2100000
4445,Appartement,Conflans-Sainte-Honorine,Culs Baillets,4,3,77,174000
4446,Appartement,Asnières-sur-Seine,Bac-Bécon-Flachat-Gare,1,,23.8,211000
4447,Appartement,Paris 07,Gros Caillou,5,3,88.12,1339000
4448,Appartement,Paris 17,Epinettes-Bessières,2,1,55,675000
4449,Appartement,Mennecy,Buisson Haudart,2,1,39,126000
4450,Maison,Montmorency,Bas Montmorency Centre,8,5,230,879000
4451,Appartement,Paris 15,Emeriau-Zola,4,3,85,980000
4452,Maison,,,5,3,150,295000
4453,Appartement,Puteaux,Bergère-Moulin,5,4,95,735000
4454,Appartement,Paris 09,Trudaine-Maubeuge,1,,21.24,239000
4455,Maison,Fresnes,Centre Ville,6,4,124,541000
4456,Appartement,Epone,Centre Bourg,3,2,63,119000
4457,Appartement,Asnières-sur-Seine,Voltaire-Grésillons,1,,29,229000
4458,Appartement,Puteaux,Bergère-Moulin,3,2,75,580000
4459,Appartement,Aubervilliers,Sadi Carnot,1,,17,105000
4460,Appartement,Chevreuse,Coteau Sud,5,2,90,325000
4461,Appartement,Montmorency,Centre Montmorency Centre,4,2,66.4,190000
4462,Appartement,Massy,Atlantis-Massy Sud,3,2,58,288000
4463,Appartement,Rueil-Malmaison,Centre Ville,4,2,86.33,499000
4464,Maison,,,2,1,38,169000
4465,Appartement,Bois-Colombes,Lepine-Binet,1,,23.6,195000
4466,Appartement,Dammartin-en-Goële,Centre Est Sud,3,2,58.12,218000
4467,Appartement,Issy-les-Moulineaux,Espaces Jeunes,5,3,85,965000
4468,Appartement,Les Ulis,Bourgogne,3,2,58,190500
4469,Maison,,,4,3,90,259000
4470,Maison,,,6,4,117,273000
4471,Appartement,Evry,Aguado,3,2,61,124200
4472,Maison,,,8,4,144,210000
4473,Appartement,Bezons,Val Sud,,,,129600
4474,Appartement,Champigny-sur-Marne,Maroc,3,2,60,295000
4475,Appartement,Louvres,Sud et Est,3,2,30,140000
4476,Maison,Maisons-Alfort,Charentonneau,2,1,38,275000
4477,Appartement,Rueil-Malmaison,Centre Ville,4,2,86.33,499000
4478,Maison,,,2,1,38,169000
4479,Appartement,Bois-Colombes,Lepine-Binet,1,,23.6,195000
4480,Maison,Dammarie les Lys,Chateau Gaillard,5,3,80,212000
4481,Appartement,Paris 11,Léon-Blum Folie-Regnault,4,2,85,895000
4482,Appartement,Colombes,Plateau-Grèves-Europe-Gare du Stade-Fossés Jean,4,3,80,398000
4483,Appartement,Clamart,Jardin Parisien,4,3,79,461000
4484,Appartement,Saint-Fargeau-Ponthierry,Moulignon-Auxonnettes-Jonville,3,2,55,150000
